query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
360,attr0_narrow,0,1,8.652565,151.85756,1028,5102,15392,10,0,1000000,5000000,5000000
361,attr1_narrow,1,0.9,12.083796,196.7356,1037,5147,14964,10,0,5000000,1000000,5000000
362,attr2_narrow,2,1,21.179438,214.32289,1031,5468,16457,10,0,5000000,5000000,1000000
363,balanced,0,0,0.732995,148.05282,44,44,1368,10,0,2000000,2000000,2000000
364,attr0_narrow,0,0.9,10.398383,144.53944,1036,3872,11102,10,0,1000000,5000000,5000000
365,attr1_narrow,1,1,11.327017,197.51907,1033,3768,11585,10,0,5000000,1000000,5000000
366,attr2_narrow,2,1,15.196456,210.47642,1034,2681,8355,10,0,5000000,5000000,1000000
367,balanced,0,0,17.544832,143.64051,1661,1937,46890,10,0,2000000,2000000,2000000
368,attr0_narrow,0,1,7.371154,134.99297,1027,3889,11478,10,0,1000000,5000000,5000000
369,attr1_narrow,1,1,11.489975,205.63184,1030,4219,12596,10,0,5000000,1000000,5000000
370,attr2_narrow,2,1,16.058766,201.96901,1032,3184,9411,10,0,5000000,5000000,1000000
371,balanced,0,0.6,22.666768,98.551596,1115,1289,30834,10,0,2000000,2000000,2000000
372,attr0_narrow,0,1,11.306528,170.52719,1033,6229,18354,10,0,1000000,5000000,5000000
373,attr1_narrow,1,1,20.46542,187.81149,1031,3999,12128,10,0,5000000,1000000,5000000
374,attr2_narrow,2,1,18.236339,204.30705,1032,4211,12665,10,0,5000000,5000000,1000000
375,balanced,0,0.6,11.189667,125.22401,1033,1306,30475,10,0,2000000,2000000,2000000
376,attr0_narrow,0,1,8.997025,181.59306,1046,3159,9648,10,0,1000000,5000000,5000000
377,attr1_narrow,1,1,10.287975,197.61472,1029,3165,9584,10,0,5000000,1000000,5000000
378,attr2_narrow,2,1,17.664919,221.73334,1036,2947,8650,10,0,5000000,5000000,1000000
379,balanced,0,0,0.192063,99.449974,8,8,351,8,1,2000000,2000000,2000000
380,attr0_narrow,0,1,10.529771,183.45435,1028,5186,15296,10,0,1000000,5000000,5000000
381,attr1_narrow,1,1,12.229251,200.30746,1031,4972,15250,10,0,5000000,1000000,5000000
